"item","qty","gross_sales","product_sales","discounts","tax","type","name","purchase_date"
"Halloween - Mel",1,45.72,40.84,0,4.16,"Halloween","Mel",2024-10-31
"Cina - Queen",1,45.72,40.84,0,4.16,"Cina","Queen",2024-10-31
"Cina",1,40.64,36.31,0,3.69,"Cina","Cina",2024-10-31
"Pompom",1,45.72,40.84,0,4.16,"Pompom","Pompom",2024-10-31
"Couple - Resting Bear",1,50.8,45.38,0,4.62,"Couple","Resting Bear",2024-10-31
"Sleepy Sparkle",1,40,36.36,0,3.64,"Sleepy Sparkle","Sleepy Sparkle",2024-10-30
"Sleepy Sparkle",1,34.54,36.86,-6,3.14,"Sleepy Sparkle","Sleepy Sparkle",2024-10-30
"Sleepy Sparkle",1,34.54,36.86,-6,3.14,"Sleepy Sparkle","Sleepy Sparkle",2024-10-30
"Rabbit - Fish",1,40.64,36.31,0,3.69,"Rabbit","Fish",2024-10-30
"Bowtie Cat - School Girl",1,45.72,40.85,0,4.15,"Bowtie Cat","School Girl",2024-10-30
"Raws - Furry",1,50.8,45.38,0,4.62,"Raws","Furry",2024-10-30
"Piggy - Bottle",1,40.64,36.31,0,3.69,"Piggy","Bottle",2024-10-30
"Capybara - Chicken Hat",1,50.8,45.38,0,4.62,"Capybara","Chicken Hat",2024-10-30
"Rabbit - Strawberry Bag",1,13.33,33.79,-21.88,1.21,"Rabbit","Strawberry Bag",2024-10-29
"Ducky - Star",1,17.15,43.44,-28.12,1.56,"Ducky","Star",2024-10-29
"Dor - Magician hat",1,45.72,40.84,0,4.16,"Dor","Magician hat",2024-10-29
"Piggy - Queen",1,40.64,36.31,0,3.69,"Piggy","Queen",2024-10-29
"Dor - Captain US",1,35.56,31.77,0,3.23,"Dor","Captain US",2024-10-28
"Piggy - Peachyy",1,30,27.27,0,2.73,"Piggy","Peachyy",2024-10-28
"Monster - small",1,45.72,40.85,0,4.15,"Monster","small",2024-10-28
"Piggy - Bottle",1,28.45,37.41,-12,2.59,"Piggy","Bottle",2024-10-28
"Piggy - Happy",1,7.53,39.32,-32.59,0.68,"Piggy","Happy",2024-10-28
"Cat - Piggy",1,10.76,39.02,-29.41,0.98,"Cat","Piggy",2024-10-28
"Kuro - King",1,32,42.09,-13.5,2.91,"Kuro","King",2024-10-28
"Halloween - Bubu Lala",1,50.8,45.38,0,4.62,"Halloween","Bubu Lala",2024-10-28
"Cina",1,28.45,37.41,-12,2.59,"Cina","Cina",2024-10-27
"Couple - Resting Bear",1,55.88,49.92,0,5.08,"Couple","Resting Bear",2024-10-27
"Ducky - Star",1,32,42.09,-13.5,2.91,"Ducky","Star",2024-10-27
"Bear Stick - Heart",1,15.64,43.58,-29.61,1.42,"Bear Stick","Heart",2024-10-27
"Mel",1,9.73,39.12,-30.42,0.88,"Mel","Mel",2024-10-27
"Capybara - TV",1,50,45.45,0,4.55,"Capybara","TV",2024-10-27
"Raws - Furry",1,50.8,45.38,0,4.62,"Raws","Furry",2024-10-27
"Dragon - Baby",1,28.45,37.42,-12,2.58,"Dragon","Baby",2024-10-27
"Capybara - Mother & Child",1,60.96,54.46,0,5.54,"Capybara","Mother & Child",2024-10-27
"Pot Lady - Small",1,39.12,51.44,-16.5,3.56,"Pot Lady","Small",2024-10-27
"Halloween - Mel",1,32,42.09,-13.5,2.91,"Halloween","Mel",2024-10-27
"Raws - OG",1,50.8,45.38,0,4.62,"Raws","OG",2024-10-27
"Sleepy Sparkle",1,28,37.46,-12,2.54,"Sleepy Sparkle","Sleepy Sparkle",2024-10-27
"Mel",1,40,36.36,0,3.64,"Mel","Mel",2024-10-27
"Raws - OG",1,50.8,45.38,0,4.62,"Raws","OG",2024-10-27
"Monster - small",1,32,42.09,-13.5,2.91,"Monster","small",2024-10-27
"Halloween - Pumpkin Man",1,50.8,45.38,0,4.62,"Halloween","Pumpkin Man",2024-10-27
"Astronaut",1,24.89,32.74,-10.5,2.26,"Astronaut","Astronaut",2024-10-27
"Cina - Magician Hat",1,45.72,40.85,0,4.15,"Cina","Magician Hat",2024-10-27
"Teddy with Tote",1,28.45,37.41,-12,2.59,"Teddy with Tote","Teddy with Tote",2024-10-27
"Capybara - TV",1,24.88,47.74,-25.51,2.26,"Capybara","TV",2024-10-27
"Capybara - Donut",1,24.88,47.74,-25.51,2.26,"Capybara","Donut",2024-10-27
"Bear Holder - A",1,32.35,62.06,-33.16,2.94,"Bear Holder","A",2024-10-27
"Piggy - Birthday",1,13.93,38.73,-26.29,1.27,"Piggy","Birthday",2024-10-27
"Piggy - Bottle",1,13.93,38.73,-26.29,1.27,"Piggy","Bottle",2024-10-27
"Dino - I Meet You",1,13.94,38.73,-26.28,1.27,"Dino","I Meet You",2024-10-27
"Pompom",1,22.39,42.97,-22.96,2.03,"Pompom","Pompom",2024-10-27
"Dino - I Meet You",1,40,36.36,0,3.64,"Dino","I Meet You",2024-10-26
"Bear Stick - Heart",1,45,40.91,0,4.09,"Bear Stick","Heart",2024-10-26
"Bear Stick - OG",1,31.5,42.14,-13.5,2.86,"Bear Stick","OG",2024-10-26
"Dragon - Baby",1,28.45,37.41,-12,2.59,"Dragon","Baby",2024-10-26
"Fox - Nine Tailed",1,55.88,49.92,0,5.08,"Fox","Nine Tailed",2024-10-26
"Monster - small",1,32,42.09,-13.5,2.91,"Monster","small",2024-10-26
"Halloween - Bubu Lala",1,50.8,45.38,0,4.62,"Halloween","Bubu Lala",2024-10-26
"SP - Umbrella",1,42.67,56.12,-18,3.88,"SP","Umbrella",2024-10-26
"Bear Holder - A",1,66.04,59,0,6,"Bear Holder","A",2024-10-26
"Bubu Lala",1,50.8,45.38,0,4.62,"Bubu Lala","Bubu Lala",2024-10-26
"Bubu Lala - Office Man",1,32,42.09,-13.5,2.91,"Bubu Lala","Office Man",2024-10-26
"Piggy - Queen",1,28.44,37.41,-12,2.59,"Piggy","Queen",2024-10-26
"Raws - Furry",1,50.8,45.38,0,4.62,"Raws","Furry",2024-10-26
"Teddy with Tote",1,18.71,38.3,-21.59,1.7,"Teddy with Tote","Teddy with Tote",2024-10-26
"Dor - Bat",1,30.06,42.27,-15.41,2.73,"Dor","Bat",2024-10-26
"Kir",1,7.41,39.32,-32.59,0.68,"Kir","Kir",2024-10-26
"Kir",1,10.59,39.04,-29.41,0.96,"Kir","Kir",2024-10-26
"Chicken Mama - 1",1,28.45,37.41,-12,2.59,"Chicken Mama","1",2024-10-26
"Chicken Mama - 1",1,40.64,36.31,0,3.69,"Chicken Mama","1",2024-10-26
"Nami",1,17.49,48.41,-32.79,1.59,"Nami","Nami",2024-10-26
"Larva",1,8.57,34.22,-26.56,0.78,"Larva","Larva",2024-10-26
"Dim Dim",1,17.49,48.41,-32.79,1.59,"Dim Dim","Dim Dim",2024-10-26
"Dor - Bat",1,32,42.09,-13.5,2.91,"Dor","Bat",2024-10-26
"Capybara - Donut",1,50.8,45.38,0,4.62,"Capybara","Donut",2024-10-26
"Raws - OG",1,50.8,45.38,0,4.62,"Raws","OG",2024-10-26
"Astronaut",1,24.89,32.74,-10.5,2.26,"Astronaut","Astronaut",2024-10-26
"Halloween - Pumpkin Man",1,50.8,45.38,0,4.62,"Halloween","Pumpkin Man",2024-10-26
"Halloween - Cheshire Cat",1,32,42.09,-13.5,2.91,"Halloween","Cheshire Cat",2024-10-26
"Monster - small",1,45.72,40.84,0,4.16,"Monster","small",2024-10-26
"Dino - Baby",1,40.64,36.31,0,3.69,"Dino","Baby",2024-10-26
"Couple - Banana",1,39.12,51.44,-16.5,3.56,"Couple","Banana",2024-10-26
"Fox - Nine Tailed",1,55.88,49.92,0,5.08,"Fox","Nine Tailed",2024-10-26
"Capybara - Chicken Hat",1,50.8,45.38,0,4.62,"Capybara","Chicken Hat",2024-10-26
"Mel - Bowtied",1,32,42.09,-13.5,2.91,"Mel","Bowtied",2024-10-26
"Astronaut",1,24.89,32.74,-10.5,2.26,"Astronaut","Astronaut",2024-10-26
"Astronaut",1,35.56,31.77,0,3.23,"Astronaut","Astronaut",2024-10-26
"Dor - Bat",1,45.72,40.84,0,4.16,"Dor","Bat",2024-10-26
"Mel",1,28.45,37.41,-12,2.59,"Mel","Mel",2024-10-26
"Kuro - King",1,45.72,40.85,0,4.15,"Kuro","King",2024-10-26
"Dor - Headphones",1,50,45.45,0,4.55,"Dor","Headphones",2024-10-26
"Bubu Lala - Office Man",1,31.5,42.14,-13.5,2.86,"Bubu Lala","Office Man",2024-10-26
"Bowtie Cat - School Girl",1,50.8,45.38,0,4.62,"Bowtie Cat","School Girl",2024-10-26
"Dor - Fal",1,32,42.1,-13.5,2.9,"Dor","Fal",2024-10-26
"Dragon - Baby",1,10.54,39.04,-29.63,0.96,"Dragon","Baby",2024-10-26
"Rabbit - Strawberry Bag",1,6.45,34.41,-28.65,0.59,"Rabbit","Strawberry Bag",2024-10-26
"Teddy with Tote",1,28.45,37.41,-12,2.59,"Teddy with Tote","Teddy with Tote",2024-10-26
"Pompom",1,45.72,40.85,0,4.15,"Pompom","Pompom",2024-10-26
"Ducky - Star",1,32,42.09,-13.5,2.91,"Ducky","Star",2024-10-26
"Ducky - Star",1,45.72,40.84,0,4.16,"Ducky","Star",2024-10-26
"Dino",1,28.45,37.42,-12,2.58,"Dino","Dino",2024-10-26
"Teddy with Tote",2,81.28,72.61,0,7.39,"Teddy with Tote","Teddy with Tote",2024-10-25
"Dino - Baby",1,28.45,37.42,-12,2.58,"Dino","Baby",2024-10-25
"Nami",1,50.8,45.38,0,4.62,"Nami","Nami",2024-10-25
"Halloween - Bubu Lala",1,50,45.45,0,4.55,"Halloween","Bubu Lala",2024-10-25
"Halloween - Mel",1,31.5,42.14,-13.5,2.86,"Halloween","Mel",2024-10-25
"Couple - Resting Bear",1,47.5,50.68,-8.25,4.32,"Couple","Resting Bear",2024-10-25
"Dragon - Baby",1,34.54,36.86,-6,3.14,"Dragon","Baby",2024-10-25
"Mitch - Tiger Hat",1,38.86,41.47,-6.75,3.53,"Mitch","Tiger Hat",2024-10-25
"Dino - Baby",1,34.54,36.86,-6,3.14,"Dino","Baby",2024-10-25
"Larva",1,30.23,32.25,-5.25,2.75,"Larva","Larva",2024-10-25
"Cat - Lady",2,69.09,73.72,-12,6.28,"Cat","Lady",2024-10-25
"Teddy with Tote",1,10.21,39.07,-29.95,0.93,"Teddy with Tote","Teddy with Tote",2024-10-25
"Raws - OG",1,18.24,48.34,-32.05,1.66,"Raws","OG",2024-10-25
"Mel - Bowtied",1,45.72,40.84,0,4.16,"Mel","Bowtied",2024-10-25
"Teddy with Tote",1,28,37.46,-12,2.54,"Teddy with Tote","Teddy with Tote",2024-10-25
"Teddy with Tote",1,40,36.36,0,3.64,"Teddy with Tote","Teddy with Tote",2024-10-25
"Mel - Bowtied",1,45.72,40.84,0,4.16,"Mel","Bowtied",2024-10-25
"Apple Baby",1,24.89,32.74,-10.5,2.26,"Apple Baby","Apple Baby",2024-10-25
"Teddy with Tote",1,28.45,37.42,-12,2.58,"Teddy with Tote","Teddy with Tote",2024-10-25
"Apple Baby",1,35.56,31.76,0,3.24,"Apple Baby","Apple Baby",2024-10-24
"Peach Baby",1,24.89,32.74,-10.5,2.26,"Peach Baby","Peach Baby",2024-10-24
"Monster - small",2,77.72,82.93,-13.5,7.07,"Monster","small",2024-10-24
"Ducky - Star",1,15.84,43.56,-29.41,1.44,"Ducky","Star",2024-10-24
"Larva - Small A",1,27,24.54,0,2.46,"Larva","Small A",2024-10-24
"Larva - Small B",1,18.9,25.28,-8.1,1.72,"Larva","Small B",2024-10-24
"Bowtie Cat",1,50,45.46,0,4.54,"Bowtie Cat","Bowtie Cat",2024-10-24
"Larva - Small A",1,27.43,24.51,0,2.49,"Larva","Small A",2024-10-24
"Larva - Small B",1,27.43,24.5,0,2.5,"Larva","Small B",2024-10-24
"Bowtie Cat",1,50.8,45.38,0,4.62,"Bowtie Cat","Bowtie Cat",2024-10-24
"Rabbit - Strawberry Bag",1,35.56,31.77,0,3.23,"Rabbit","Strawberry Bag",2024-10-24
"Halloween - Mel",1,45.72,40.84,0,4.16,"Halloween","Mel",2024-10-24
"Bowtie Cat - Sailor",1,50.8,45.38,0,4.62,"Bowtie Cat","Sailor",2024-10-23
"Teddy with Tote",1,28.45,37.42,-12,2.58,"Teddy with Tote","Teddy with Tote",2024-10-23
"Ducky - Star",1,32,42.09,-13.5,2.91,"Ducky","Star",2024-10-23
"SP - Rabbit Trainer",1,50.8,45.38,0,4.62,"SP","Rabbit Trainer",2024-10-23
"Capybara - TV",1,43.18,46.07,-7.5,3.93,"Capybara","TV",2024-10-23
"Monster - small",1,38.86,41.47,-6.75,3.53,"Monster","small",2024-10-23
"Peach Baby",1,30.23,32.25,-5.25,2.75,"Peach Baby","Peach Baby",2024-10-23
"Halloween - Pumpkin Man",1,50.8,45.38,0,4.62,"Halloween","Pumpkin Man",2024-10-23
"Halloween - Mel",1,32,42.09,-13.5,2.91,"Halloween","Mel",2024-10-23
"Halloween - Cheshire Cat",1,45.72,40.84,0,4.16,"Halloween","Cheshire Cat",2024-10-23
"Halloween - Pumpkin Man",1,50.8,45.38,0,4.62,"Halloween","Pumpkin Man",2024-10-23
"Bowtie Cat - Sailor",1,35.56,46.77,-15,3.23,"Bowtie Cat","Sailor",2024-10-23
"Pot Lady - Large",1,55.88,49.92,0,5.08,"Pot Lady","Large",2024-10-23
"Pot Lady - Small",1,39.12,51.44,-16.5,3.56,"Pot Lady","Small",2024-10-23
"Bowtie Cat - D Hat",1,34.54,36.86,-6,3.14,"Bowtie Cat","D Hat",2024-10-22
"Dor - Bat",1,38.86,41.47,-6.75,3.53,"Dor","Bat",2024-10-22
"Raws - OG",1,43.18,46.07,-7.5,3.93,"Raws","OG",2024-10-22
"Dom & Terry - Dom - Milk Bottle",1,34.54,36.86,-6,3.14,"Dom & Terry","Dom - Milk Bottle",2024-10-22
"Bear Stick - Heart",1,45.72,40.84,0,4.16,"Bear Stick","Heart",2024-10-22
"Teddy with Tote",1,28.45,37.41,-12,2.59,"Teddy with Tote","Teddy with Tote",2024-10-22
"Halloween - Mel",1,45.72,40.85,0,4.15,"Halloween","Mel",2024-10-22
"Raws - OG",1,50,45.45,0,4.55,"Raws","OG",2024-10-22
"Pompom",1,38.25,41.52,-6.75,3.48,"Pompom","Pompom",2024-10-21
"Cina - Magician Hat",1,38.25,41.53,-6.75,3.47,"Cina","Magician Hat",2024-10-21
"Strawberry Bear - Balloon",1,32,42.09,-13.5,2.91,"Strawberry Bear","Balloon",2024-10-21
"Strawberry Bear - Balloon",1,45.72,40.84,0,4.16,"Strawberry Bear","Balloon",2024-10-21
"Raws - OG",1,50.8,45.38,0,4.62,"Raws","OG",2024-10-21
"Rabbit - Ice Cream",1,28.45,37.42,-12,2.58,"Rabbit","Ice Cream",2024-10-21
"Bowtie Cat - Sailor",1,50.8,45.38,0,4.62,"Bowtie Cat","Sailor",2024-10-21
"Kuro - Eclipse",1,32,42.09,-13.5,2.91,"Kuro","Eclipse",2024-10-21
"Capybara - Piggy Hat",1,50.8,45.38,0,4.62,"Capybara","Piggy Hat",2024-10-21
"Astronaut",1,35.56,31.77,0,3.23,"Astronaut","Astronaut",2024-10-21
"Ducky - Star",1,45.72,40.84,0,4.16,"Ducky","Star",2024-10-21
"Astronaut",1,24.89,32.74,-10.5,2.26,"Astronaut","Astronaut",2024-10-21
"Rabbit - Strawberry Bag",1,24.5,32.77,-10.5,2.23,"Rabbit","Strawberry Bag",2024-10-21
"Piggy - Queen",1,40,36.37,0,3.63,"Piggy","Queen",2024-10-21
"Fox - Nine Tailed",1,55,50,0,5,"Fox","Nine Tailed",2024-10-21
"Astronaut",1,24.5,32.77,-10.5,2.23,"Astronaut","Astronaut",2024-10-21
"Strawberry Bear - Princess",1,45.72,40.84,0,4.16,"Strawberry Bear","Princess",2024-10-21
"Capybara - Turtle Hat",1,50.8,45.38,0,4.62,"Capybara","Turtle Hat",2024-10-21
"Monster - small",1,32,42.09,-13.5,2.91,"Monster","small",2024-10-21
"Apple Baby",1,35.56,31.77,0,3.23,"Apple Baby","Apple Baby",2024-10-20
"Capybara - Turtle Hat",1,50.8,45.38,0,4.62,"Capybara","Turtle Hat",2024-10-20
"Purin",1,32,42.09,-13.5,2.91,"Purin","Purin",2024-10-20
"SP - Hair Clips",1,35.56,46.77,-15,3.23,"SP","Hair Clips",2024-10-20
"Capybara - Toilet",1,50.8,45.38,0,4.62,"Capybara","Toilet",2024-10-20
"Raws - OG",1,50.8,45.38,0,4.62,"Raws","OG",2024-10-20
"Halloween - Bubu Lala",1,50.8,45.38,0,4.62,"Halloween","Bubu Lala",2024-10-20
"Kuro - Clown Hat",1,32,42.09,-13.5,2.91,"Kuro","Clown Hat",2024-10-20
"Dor - Fal",1,45.72,40.84,0,4.16,"Dor","Fal",2024-10-20
"Astronaut",1,24.89,32.74,-10.5,2.26,"Astronaut","Astronaut",2024-10-20
"Piggy - Queen",1,40.64,36.31,0,3.69,"Piggy","Queen",2024-10-20
"Larva",1,24.89,32.74,-10.5,2.26,"Larva","Larva",2024-10-20
"Monster - small",1,45.72,40.84,0,4.16,"Monster","small",2024-10-20
"Bear Holder - A",1,65,59.09,0,5.91,"Bear Holder","A",2024-10-20
"Rabbit - Ice Cream",1,28.45,37.41,-12,2.59,"Rabbit","Ice Cream",2024-10-20
"Couple - Cat",1,55.88,49.92,0,5.08,"Couple","Cat",2024-10-20
"Kuro - Bowtied",1,45.72,40.85,0,4.15,"Kuro","Bowtied",2024-10-20
"Mitch - Dragon Hat",1,32,42.09,-13.5,2.91,"Mitch","Dragon Hat",2024-10-20
"Piggy - Queen",1,40.64,36.31,0,3.69,"Piggy","Queen",2024-10-20
"Piggy - Birthday",1,28.45,37.41,-12,2.59,"Piggy","Birthday",2024-10-20
"Halloween - Cheshire Cat",1,45.72,40.84,0,4.16,"Halloween","Cheshire Cat",2024-10-20
"Rabbit - Carrot",1,24.89,32.74,-10.5,2.26,"Rabbit","Carrot",2024-10-20
"Rabbit - Fish",1,40.64,36.31,0,3.69,"Rabbit","Fish",2024-10-20
"Lion - King",1,40.64,36.31,0,3.69,"Lion","King",2024-10-20
"Puppy",1,28.45,37.41,-12,2.59,"Puppy","Puppy",2024-10-20
"Larva",1,24.89,32.74,-10.5,2.26,"Larva","Larva",2024-10-20
"Larva",1,35.56,31.76,0,3.24,"Larva","Larva",2024-10-20
"Monster - small",1,45.72,40.85,0,4.15,"Monster","small",2024-10-20
"Dino - I Meet You",1,28.45,37.41,-12,2.59,"Dino","I Meet You",2024-10-20
"Dino - Baby",1,28.45,37.41,-12,2.59,"Dino","Baby",2024-10-20
"Fox - Nine Tailed",1,55.88,49.92,0,5.08,"Fox","Nine Tailed",2024-10-20
"Cina - Bowtied",1,45.72,40.85,0,4.15,"Cina","Bowtied",2024-10-20
"Teddy with Tote",1,28.45,37.41,-12,2.59,"Teddy with Tote","Teddy with Tote",2024-10-20
"Couple - Lucky Cat",1,55.88,49.92,0,5.08,"Couple","Lucky Cat",2024-10-20
"Mel - Bowtied",1,45.72,40.84,0,4.16,"Mel","Bowtied",2024-10-20
"SP - Rabbit Trainer",1,50.8,45.39,0,4.61,"SP","Rabbit Trainer",2024-10-20
"Dim Dim",1,50.8,45.38,0,4.62,"Dim Dim","Dim Dim",2024-10-20
"Puppy",1,28.45,37.42,-12,2.58,"Puppy","Puppy",2024-10-20
"Larva",1,35.56,31.77,0,3.23,"Larva","Larva",2024-10-20
"Halloween - Pumpkin Man",1,50.8,45.38,0,4.62,"Halloween","Pumpkin Man",2024-10-20
"Halloween - Mel",1,32,42.09,-13.5,2.91,"Halloween","Mel",2024-10-20
"Bowtie Cat - School Girl",1,35,46.82,-15,3.18,"Bowtie Cat","School Girl",2024-10-20
"Bowtie Cat - School Girl",1,50,45.45,0,4.55,"Bowtie Cat","School Girl",2024-10-20
"Kuro - Ice Cream",1,11.08,43.99,-34.09,1.01,"Kuro","Ice Cream",2024-10-20
"Halloween - Cheshire Cat",1,15.84,43.56,-29.41,1.44,"Halloween","Cheshire Cat",2024-10-20
"Dor - Fal",1,23.95,42.82,-21.43,2.18,"Dor","Fal",2024-10-19
"Capybara - Mother & Child",1,31.93,57.1,-28.57,2.9,"Capybara","Mother & Child",2024-10-19
"Teddy with Tote",1,28.45,37.41,-12,2.59,"Teddy with Tote","Teddy with Tote",2024-10-19
"SP - Lion Dance",1,71.12,63.53,0,6.47,"SP","Lion Dance",2024-10-19
"Capybara - Toilet",1,35.56,46.77,-15,3.23,"Capybara","Toilet",2024-10-19
"Dom & Terry - Dom - Milk Bottle",1,40.64,36.31,0,3.69,"Dom & Terry","Dom - Milk Bottle",2024-10-19
"Larva - Small B",1,19.2,25.25,-8.1,1.75,"Larva","Small B",2024-10-19
"Halloween - Bubu Lala",1,50.8,45.38,0,4.62,"Halloween","Bubu Lala",2024-10-19
"Bowtie Cat - Sailor",1,35.56,46.77,-15,3.23,"Bowtie Cat","Sailor",2024-10-19
"Couple - Lucky Cat",1,55.88,49.92,0,5.08,"Couple","Lucky Cat",2024-10-19
"Fox - Nine Tailed",1,55.88,49.92,0,5.08,"Fox","Nine Tailed",2024-10-19
"Cina - Bowtied",1,32,42.09,-13.5,2.91,"Cina","Bowtied",2024-10-19
"Halloween - Pumpkin Man",1,35.56,46.77,-15,3.23,"Halloween","Pumpkin Man",2024-10-19
"Capybara - Toilet",1,50.8,45.38,0,4.62,"Capybara","Toilet",2024-10-19
"Halloween - Mel",1,32,42.09,-13.5,2.91,"Halloween","Mel",2024-10-19
"Cina - Princess",1,45.72,40.84,0,4.16,"Cina","Princess",2024-10-19
"Rabbit - on Duck",1,45.72,40.84,0,4.16,"Rabbit","on Duck",2024-10-19
"Rabbit - Ice Cream",1,28.45,37.41,-12,2.59,"Rabbit","Ice Cream",2024-10-19
"Ducky - Star",1,45.72,40.85,0,4.15,"Ducky","Star",2024-10-19
"Bowtie Cat - School Girl",1,14.64,48.67,-35.59,1.33,"Bowtie Cat","School Girl",2024-10-19
"Bowtie Cat - School Girl",1,20.92,48.1,-29.41,1.9,"Bowtie Cat","School Girl",2024-10-19
"Couple - Ducky",1,55.88,49.92,0,5.08,"Couple","Ducky",2024-10-19
